品种,序,开仓日,平仓日,持有日,现价,长腿行权价,空腿行权价,入场权利金,平仓价值,收益率,累计净值
中证1000,1,20230522,20230710,33,6602.317,6600.0,7100.0,118.434,37.014,-0.6875,0.8969
中证1000,2,20230828,20231009,24,5879.027,5900.0,6300.0,188.82,161.772,-0.1432,0.8776
中证1000,3,20231025,20231204,28,5719.323,5700.0,6200.0,134.272,367.84,1.7395,1.1066
中证1000,4,20240108,20240207,22,5675.809,5700.0,6100.0,87.14,0.19,-0.9978,0.941
中证1000,5,20240221,20240408,31,5046.012,5000.0,5400.0,117.586,281.042,1.3901,1.1372
中证1000,6,20240418,20240506,9,5287.456,5300.0,5700.0,99.976,249.136,1.492,1.3917
中证1000,7,20250408,20250506,17,5496.443,5500.0,5900.0,151.316,354.896,1.3454,1.6725
中证1000,8,20251020,20251110,15,7185.478,7200.0,7800.0,175.872,311.7,0.7723,1.8663
中证1000,9,20251125,20260105,27,7156.408,7200.0,7700.0,127.258,410.112,2.2227,2.4885
中证1000,10,20260304,20260407,23,8142.454,8100.0,8800.0,223.38,3.12,-0.986,2.1204
中证1000,11,20260414,20260506,13,8025.572,8000.0,8700.0,197.848,501.364,1.5341,2.6084
中证500,1,20230427,20230512,8,6.159,6.25,6.75,0.0652,0.0169,-0.7406,0.8889
中证500,2,20230519,20230616,20,6.153,6.25,6.75,0.0675,0.0333,-0.5076,0.8212
中证500,3,20230817,20230915,21,5.945,6.0,6.5,0.09,0.0109,-0.8792,0.7129
中证500,4,20231020,20231110,15,5.561,5.5,6.0,0.135,0.1669,0.236,0.7382
中证500,5,20231219,20240112,17,5.483,5.5,6.0,0.0987,0.0084,-0.9149,0.6369
中证500,6,20240116,20240219,18,5.279,5.25,5.75,0.1106,0.0709,-0.3591,0.6026
中证500,7,20240730,20240816,13,4.776,4.8,5.25,0.0691,0.039,-0.4359,0.5632
中证500,8,20250408,20250516,25,5.28,5.25,5.75,0.1846,0.3992,1.1625,0.6614
中证500,9,20251020,20251114,19,7.114,7.0,7.75,0.2285,0.33,0.4442,0.7054
中证500,10,20251124,20251212,14,6.922,7.0,7.5,0.1218,0.2648,1.1742,0.8297
中证500,11,20260304,20260410,26,8.375,8.25,9.0,0.2278,0.0406,-0.8216,0.7274
中证500,12,20260715,20260720,3,8.413,8.35,9.086,0.2033,0.0572,-0.7185,0.649
创业板,1,20230427,20230512,8,2.226,2.25,2.4,0.0333,0.0095,-0.7153,0.8927
创业板,2,20230523,20230616,18,2.214,2.2,2.4,0.0609,0.029,-0.5237,0.8226
创业板,3,20230914,20231013,15,1.974,1.95,2.15,0.0621,0.0215,-0.6544,0.7418
创业板,4,20231023,20231110,14,1.85,1.85,2.0,0.0407,0.0942,1.3161,0.8883
创业板,5,20240109,20240219,23,1.699,1.7,1.85,0.0446,0.0277,-0.3788,0.8378
创业板,6,20240417,20240510,14,1.713,1.7,1.85,0.048,0.1126,1.345,1.0069
创业板,7,20240815,20240913,21,1.555,1.55,1.7,0.0413,0.0059,-0.8564,0.8775
创业板,8,20250409,20250516,24,1.804,1.8,1.95,0.0519,0.137,1.6372,1.093
创业板,9,20251020,20251114,19,2.915,2.9,3.1,0.0713,0.1353,0.8968,1.24
创业板,10,20260304,20260410,26,3.205,3.2,3.5,0.0874,0.1895,1.169,1.4575
